key,description,type
Predictability3,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Not having enough food or water (1=Very unpredictable, 5=Very predictable)",int
Predictability4,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Not having household supplies (e.g., medical, cleaning) (1=Very unpredictable, 5=Very predictable)",int
Predictability5,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Being sick or injured (1=Very unpredictable, 5=Very predictable)",int
Predictability6,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Needing child or dependent care (1=Very unpredictable, 5=Very predictable)",int
Predictability7,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Needing emotional support (1=Very unpredictable, 5=Very predictable)",int
Expectation1,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing money for rent or mortgage payments (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Expectation2,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing money to pay for utilities (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Expectation3,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing food or water (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Expectation4,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing household supplies (e.g., medical, cleaning) (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Expectation5,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing care for a sick or injured person (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Expectation6,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing help with child or dependent care (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Expectation7,"When people help each other in these ways or in these circumstances, what, if anything, do they expect in return? Providing emotional support (1=Monetary compensation, 2=The same or any kind of help at a later time, regardless of whether one needs it, 3=The same or any kind of help at a later time, but only if one really needs it, 4=Nothing is expected in return for this kind of help or help given in this circumstance)",int
Challenges1,"In the past 12 months, how many times did you experience each of the following challenges? Lacking the money or access to get basic needs (e.g., rent, utilities, etc) (1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 6=More than 10 times)",int
Challenges2,"In the past 12 months, how many times did you experience each of the following challenges? Lacking the money or access to get food or water (1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 6=More than 10 times)",int
Challenges3,"In the past 12 months, how many times did you experience each of the following challenges? Lacking the money or access to get household supplies (e.g., medical, cleaning) (1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 6=More than 10 times)",int
Challenges4,"In the past 12 months, how many times did you experience each of the following challenges? Being sick or injured (1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 6=More than 10 times)",int
Challenges5,"In the past 12 months, how many times did you experience each of the following challenges? Needing help with child or dependent care (1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 6=More than 10 times)",int
Challenges6,"In the past 12 months, how many times did you experience each of the following challenges? Needing emotional support (1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 6=More than 10 times)",int
IRIconcern1,"I often have tender, concerned feelings for people less fortunate than me (1=Does not describe me well, 5=Describes me well)",int
IRIconcern2,"Sometimes, I don't feel sorry for other people when they are having problems (1=Does not describe me well, 5=Describes me well)",int
IRIconcern3,"Other people's misfortunes do not usually disturb me a great deal (1=Does not describe me well, 5=Describes me well)",int
IRIconcern4,"When I see someone being treated unfairly, I sometimes don't feel very much pity for them (1=Does not describe me well, 5=Describes me well)",int
IRIconcern5,"I am often quite touched by things that I see happen (1=Does not describe me well, 5=Describes me well)",int
IRIconcern6,"I would describe myself as a pretty soft-hearted person (1=Does not describe me well, 5=Describes me well)",int
IRIdistress1,"In emergency situations, I feel apprehensive and ill-at-ease (1=Does not describe me well, 5=Describes me well)",int
IRIdistress2,"I sometimes feel helpless when I am in the middle of a very emotional situation (1=Does not describe me well, 5=Describes me well)",int
IRIdistress3,"When I see someone get hurt, I tend to remain calm (1=Does not describe me well, 5=Describes me well)",int
IRIdistress4,"Being in a tense emotional situation scares me (1=Does not describe me well, 5=Describes me well)",int
IRIdistress5,"I am usually pretty effective in dealing with emergencies (1=Does not describe me well, 5=Describes me well)",int
IRIdistress6,"I tend to lose control during emergencies (1=Does not describe me well, 5=Describes me well)",int
IRIdistress7,"When I see someone who badly needs help in an emergency, I fall apart (1=Does not describe me well, 5=Describes me well)",int
FinancialHardship,"Do you anticipate having financial difficulties over the coming year, for instance being unable to pay bills on time? 1 = I'm currently having difficulties, 2 = in 1 month, 3 = in 2 months, 4 = in 3-6 months, 5 = in 6-9 months, 6 = in 9-12 months, 7 = I don't anticipate having financial difficulties in the near future",int
TroubleRemember,"Since you have been in quarantine, have you had trouble remembering what day of the week it is? (1=Never, 3=Sometimes, 5=Regularly)",int
RecentlyForgotten,Have you recently forgotten what day of the week it is? (1=Never; 3=Sometimes; 5=Regularly),int
TimePassed,"Since the beginning of the pandemic, this year has passed: 1 = much faster than previous years, 3 = about the same, 5 = much more slowly than previous years",int
TimePassed1,"How small or large does the amount of time that passed seemed to you? Before the lockdown in 2020  (1=very small, 7=very large)",int
TimePassed2,"How small or large does the amount of time that passed seemed to you? Currently (1=very small, 7=very large)",int
SixMonthsPassed,"The last six months have passed: (1=Much more slowly than previous years, 3=About the same, 5=Much faster than previous years)",int
SimilarDays,"Since the beginning of the pandemic, how similar would you say each day is to the day before and the day after? 1 = everyday is basically the same, 5 = each day is different from the last",int
FarMonth,"How near or far away does a month from now seem? 1 = very near, 7 = very far",int
